LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2011,2012,2013,2014,2015,2016,LEVEL
Licenses & Permits,(441003) Innholder License,,,,,1000,1500,1500,1500,1500,2500,2
Licenses & Permits,(441003) Innholder License Total,,,,,1000,1500,1500,1500,1500,2500,2
Licenses & Permits,(441004) Malt & Wines EDC,,,,,3200,3200,0,3200,3200,3500,2
Licenses & Permits,(441004) Malt & Wines EDC Total,,,,,3200,3200,0,3200,3200,3500,2
Licenses & Permits,(441005) Malt Bev & Wine Store,,,,,17500,17500,22500,22500,22500,22500,2
Licenses & Permits,(441005) Malt Bev & Wine Store Total,,,,,17500,17500,22500,22500,22500,22500,2
Licenses & Permits,(441006) Malt Bev & Wine Restaurant,,,,,30000,37500,32000,40000,32000,32000,2
Licenses & Permits,(441006) Malt Bev & Wine Restaurant Total,,,,,30000,37500,32000,40000,32000,32000,2
Licenses & Permits,(441007) Package Store License,,,,,68000,68000,64000,64000,64000,70000,2
Licenses & Permits,(441007) Package Store License Total,,,,,68000,68000,64000,64000,64000,70000,2
Licenses & Permits,(441008) Restaurant License - Liquor,,,,,208000,208000,235000,228800,250000,272000,2
Licenses & Permits,(441008) Restaurant License - Liquor Total,,,,,208000,208000,235000,228800,250000,272000,2
Licenses & Permits,(441009) Special Alcohol License,,,,,3550,2000,3000,2000,2500,12000,2
Licenses & Permits,(441009) Special Alcohol License Total,,,,,3550,2000,3000,2000,2500,12000,2
Licenses & Permits,(442001) Auctioneer License,,,,,0,150,150,0,0,0,2
Licenses & Permits,(442001) Auctioneer License Total,,,,,0,150,150,0,0,0,2
Licenses & Permits,(442002) Auto Amusement Device,,,,,300,180,300,300,0,0,2
Licenses & Permits,(442002) Auto Amusement Device Total,,,,,300,180,300,300,0,0,2
Licenses & Permits,(442003) Billiards/Pool/Bowl License,,,,,1000,1000,1000,960,1500,1100,2
Licenses & Permits,(442003) Billiards/Pool/Bowl License Total,,,,,1000,1000,1000,960,1500,1100,2
Licenses & Permits,(442004) Builder's License,,,,,350,350,350,350,350,200,2
Licenses & Permits,(442004) Builder's License Total,,,,,350,350,350,350,350,200,2
Licenses & Permits,(442005) Close Out Sale,,,,,50,50,50,0,0,0,2
Licenses & Permits,(442005) Close Out Sale Total,,,,,50,50,50,0,0,0,2
Licenses & Permits,(442006) Constable's License,,,,,3750,3500,3750,3750,3750,4125,2
Licenses & Permits,(442006) Constable's License Total,,,,,3750,3500,3750,3750,3750,4125,2
Licenses & Permits,(442008) Dog Kennel License,,,,,200,325,200,200,0,0,2
Licenses & Permits,(442008) Dog Kennel License Total,,,,,200,325,200,200,0,0,2
Licenses & Permits,(442009) Dog License,,,,,22500,31000,46000,44100,42000,46200,2
Licenses & Permits,(442009) Dog License Total,,,,,22500,31000,46000,44100,42000,46200,2
Licenses & Permits,(442010) Drainlayer License,,,,,6250,7500,7500,12500,10000,11000,2
Licenses & Permits,(442010) Drainlayer License Total,,,,,6250,7500,7500,12500,10000,11000,2
Licenses & Permits,(442011) Entertainment License,,,,,17800,17800,32000,40000,32800,43500,2
Licenses & Permits,(442011) Entertainment License Total,,,,,17800,17800,32000,40000,32800,43500,2
Licenses & Permits,(442012) Funeral Director License,,,,,525,570,570,570,380,380,2
Licenses & Permits,(442012) Funeral Director License Total,,,,,525,570,570,570,380,380,2
Licenses & Permits,(442013) Hawker/Peddler License,,,,,1200,1500,1500,3600,1800,990,2
Licenses & Permits,(442013) Hawker/Peddler License Total,,,,,1200,1500,1500,3600,1800,990,2
Licenses & Permits,(442014) Junk Dealer License,,,,,2500,3500,3000,3750,3750,4125,2
Licenses & Permits,(442014) Junk Dealer License Total,,,,,2500,3500,3000,3750,3750,4125,2
Licenses & Permits,(442015) Livery/Limousine License,,,,,200,200,200,300,300,330,2
Licenses & Permits,(442015) Livery/Limousine License Total,,,,,200,200,200,300,300,330,2
Licenses & Permits,(442016) Lodging License,,,,,20000,22500,22000,22000,22000,24200,2
Licenses & Permits,(442016) Lodging License Total,,,,,20000,22500,22000,22000,22000,24200,2
Licenses & Permits,(442018) Milk License,,,,,9205,9205,9205,7500,7500,7500,2
Licenses & Permits,(442018) Milk License Total,,,,,9205,9205,9205,7500,7500,7500,2
Licenses & Permits,(442019) Moving Vans & Pods,,,,,115000,99866,109000,75000,50000,70005,2
Licenses & Permits,(442019) Moving Vans & Pods Total,,,,,115000,99866,109000,75000,50000,70005,2
Licenses & Permits,(442020) Outdoor Parking Space,,,,,14240,14240,14000,14000,14000,17500,2
Licenses & Permits,(442020) Outdoor Parking Space Total,,,,,14240,14240,14000,14000,14000,17500,2
Licenses & Permits,(442021) Outdoor Seating,,,,,4500,4500,4500,4500,5100,6600,2
Licenses & Permits,(442021) Outdoor Seating Total,,,,,4500,4500,4500,4500,5100,6600,2
Licenses & Permits,(442022) Physical Therapist License,,,,,5053,5053,5053,8500,8500,10000,2
Licenses & Permits,(442022) Physical Therapist License Total,,,,,5053,5053,5053,8500,8500,10000,2
Licenses & Permits,(442023) Physician/Osteopathy License,,,,,60,60,60,60,0,60,2
Licenses & Permits,(442023) Physician/Osteopathy License Total,,,,,60,60,60,60,0,60,2
Licenses & Permits,(442024) Signs & Awning,,,,,3750,3750,3750,4000,5000,2200,2
Licenses & Permits,(442024) Signs & Awning Total,,,,,3750,3750,3750,4000,5000,2200,2
Licenses & Permits,(442026) Swimming Pool License,,,,,2880,2880,2880,2880,1440,2620,2
Licenses & Permits,(442026) Swimming Pool License Total,,,,,2880,2880,2880,2880,1440,2620,2
Licenses & Permits,(442027) Taxi Stand License,,,,,4500,4500,4500,4500,4500,4950,2
Licenses & Permits,(442027) Taxi Stand License Total,,,,,4500,4500,4500,4500,4500,4950,2
Licenses & Permits,(442028) Taxicab Medallion,,,,,34750,38750,33250,30250,30250,34900,2
Licenses & Permits,(442028) Taxicab Medallion Total,,,,,34750,38750,33250,30250,30250,34900,2
Licenses & Permits,(442029) Used Car Dealer License,,,,,25000,28500,27000,27500,30250,33275,2
Licenses & Permits,(442029) Used Car Dealer License Total,,,,,25000,28500,27000,27500,30250,33275,2
Licenses & Permits,(442031) Fortune Teller,,,,,0,0,0,500,500,550,2
Licenses & Permits,(442031) Fortune Teller Total,,,,,0,0,0,500,500,550,2
Licenses & Permits,(442032) Urban Agriculture License,,,,,0,0,0,150,200,300,2
Licenses & Permits,(442032) Urban Agriculture License Total,,,,,0,0,0,150,200,300,2
Licenses & Permits,(442033) BOA Mobile Food Vendor,,,,,0,0,0,150,600,660,2
Licenses & Permits,(442033) BOA Mobile Food Vendor Total,,,,,0,0,0,150,600,660,2
Licenses & Permits,(445001) Burial Permits,,,,,3600,3600,3600,3600,3100,3100,2
Licenses & Permits,(445001) Burial Permits Total,,,,,3600,3600,3600,3600,3100,3100,2
Licenses & Permits,(445002) Dumpster Contractors,,,,,0,990,0,4620,5280,5000,2
Licenses & Permits,(445002) Dumpster Contractors Total,,,,,0,990,0,4620,5280,5000,2
Licenses & Permits,(445003) Explosive Storage - Flammables,,,,,25000,19000,15000,15000,13000,13000,2
Licenses & Permits,(445003) Explosive Storage - Flammables Total,,,,,25000,19000,15000,15000,13000,13000,2
Licenses & Permits,(445004) Extended Retail Hours,,,,,5000,5500,5500,8250,8250,9075,2
Licenses & Permits,(445004) Extended Retail Hours Total,,,,,5000,5500,5500,8250,8250,9075,2
Licenses & Permits,(445005) Flammable Permit,,,,,25000,23000,27500,27500,24750,27225,2
Licenses & Permits,(445005) Flammable Permit Total,,,,,25000,23000,27500,27500,24750,27225,2
Licenses & Permits,(445006) Garage Permits,,,,,45000,49500,49500,60000,60500,66550,2
Licenses & Permits,(445006) Garage Permits Total,,,,,45000,49500,49500,60000,60500,66550,2
Licenses & Permits,(445007) Marriage Permits,,,,,24750,28000,27500,27500,27500,27500,2
Licenses & Permits,(445007) Marriage Permits Total,,,,,24750,28000,27500,27500,27500,27500,2
Licenses & Permits,(445008) Police Revolver Permit,,,,,2500,4000,5500,6500,6500,5000,2
Licenses & Permits,(445008) Police Revolver Permit Total,,,,,2500,4000,5500,6500,6500,5000,2
Licenses & Permits,(445009) Raffle/Bazaar Permit,,,,,250,250,250,250,250,300,2
Licenses & Permits,(445009) Raffle/Bazaar Permit Total,,,,,250,250,250,250,250,300,2
Licenses & Permits,(445010) Removal of Garbage,,,,,2400,2400,2400,0,0,0,2
Licenses & Permits,(445010) Removal of Garbage Total,,,,,2400,2400,2400,0,0,0,2
Licenses & Permits,(445011) Resident Parking Permit,,,,,1026000,1320141,1640000,1596000,1596000,2182793,2
Licenses & Permits,(445011) Resident Parking Permit Total,,,,,1026000,1320141,1640000,1596000,1596000,2182793,2
Licenses & Permits,(445012) Retail & Food Permit,,,,,172727,174085,178766,183000,190000,190000,2
Licenses & Permits,(445012) Retail & Food Permit Total,,,,,172727,174085,178766,183000,190000,190000,2
Licenses & Permits,(445014) Sworn Weigher,,,,,300,300,300,300,0,0,2
Licenses & Permits,(445014) Sworn Weigher Total,,,,,300,300,300,300,0,0,2
Licenses & Permits,(448002) Building Permits,,,,,1936459,2801810,1424442,2317358,3838660,4541000,2
Licenses & Permits,(448002) Building Permits Total,,,,,1936459,2801810,1424442,2317358,3838660,4541000,2
Licenses & Permits,(448004) Dumpster Permits,,,,,25000,27500,27500,35000,48000,60440,2
Licenses & Permits,(448004) Dumpster Permits Total,,,,,25000,27500,27500,35000,48000,60440,2
Licenses & Permits,(448005) Electrical Permits,,,,,180000,200000,215000,250000,250000,500000,2
Licenses & Permits,(448005) Electrical Permits Total,,,,,180000,200000,215000,250000,250000,500000,2
Licenses & Permits,(448006) Gas Permit,,,,,54150,64980,59150,59150,63000,100000,2
Licenses & Permits,(448006) Gas Permit Total,,,,,54150,64980,59150,59150,63000,100000,2
Licenses & Permits,(448007) Grant of Location,,,,,6000,9282,11000,11000,11000,12100,2
Licenses & Permits,(448007) Grant of Location Total,,,,,6000,9282,11000,11000,11000,12100,2
Licenses & Permits,(448008) Housing Certificate,,,,,1000,1000,1000,500,330,330,2
Licenses & Permits,(448008) Housing Certificate Total,,,,,1000,1000,1000,500,330,330,2
Licenses & Permits,(448009) Inspection,,,,,26650,27250,35000,60000,60000,75000,2
Licenses & Permits,(448009) Inspection Total,,,,,26650,27250,35000,60000,60000,75000,2
Licenses & Permits,(448010) Occupancy Permit,,,,,19000,35250,29750,28000,31500,40000,2
Licenses & Permits,(448010) Occupancy Permit Total,,,,,19000,35250,29750,28000,31500,40000,2
Licenses & Permits,(448011) Plumbing Permit,,,,,80000,105600,87000,95000,120000,138000,2
Licenses & Permits,(448011) Plumbing Permit Total,,,,,80000,105600,87000,95000,120000,138000,2
Licenses & Permits,(448012) Sidewalk Permit,,,,,70000,90000,115000,135000,100000,143000,2
Licenses & Permits,(448012) Sidewalk Permit Total,,,,,70000,90000,115000,135000,100000,143000,2
Licenses & Permits,(477007) Open Air Vendor,,,,,0,150,150,150,0,0,2
Licenses & Permits,(477007) Open Air Vendor Total,,,,,0,150,150,150,0,0,2
Licenses & Permits,Sporting License,,,,,150,150,0,0,0,0,2
Licenses & Permits,Sporting License Total,,,,,150,150,0,0,0,0,2
Licenses & Permits Total,,,,,,4423649,5699867,4723976,5675548,7185590,8973183,1
Fines & Forfeits,(468003) Court Fines,,,,,7000,10650,7000,5000,5000,6895,2
Fines & Forfeits,(468003) Court Fines Total,,,,,7000,10650,7000,5000,5000,6895,2
Fines & Forfeits,(468006) Mass Court Moving Violations,,,,,325000,300000,350000,370000,370000,325000,2
Fines & Forfeits,(468006) Mass Court Moving Violations Total,,,,,325000,300000,350000,370000,370000,325000,2
Fines & Forfeits,(477001) Parking Fines,,,,,7194119,6915961,6335500,5358660,5187507,4600000,2
Fines & Forfeits,(477001) Parking Fines Total,,,,,7194119,6915961,6335500,5358660,5187507,4600000,2
Fines & Forfeits,(477002) Parking Fine Surcharge,,,,,220000,240000,240000,66000,66000,19680,2
Fines & Forfeits,(477002) Parking Fine Surcharge Total,,,,,220000,240000,240000,66000,66000,19680,2
Fines & Forfeits,(477003) Library Fines,,,,,19000,15000,15000,20000,20000,4000,2
Fines & Forfeits,(477003) Library Fines Total,,,,,19000,15000,15000,20000,20000,4000,2
Fines & Forfeits,(477005) Landcourt/Recording,,,,,663,9716,10000,10000,10000,2988,2
Fines & Forfeits,(477005) Landcourt/Recording Total,,,,,663,9716,10000,10000,10000,2988,2
Fines & Forfeits,(477006) Ordinance Violations,,,,,637500,646765,435778,330000,283660,225000,2
Fines & Forfeits,(477006) Ordinance Violations Total,,,,,637500,646765,435778,330000,283660,225000,2
Fines & Forfeits,(477009) Resitution,,,,,4000,3800,500,500,500,1000,2
Fines & Forfeits,(477009) Resitution Total,,,,,4000,3800,500,500,500,1000,2
Fines & Forfeits,(477010) RMV Non-Reneweal Surcharge,,,,,60500,60000,60000,60000,66000,24641,2
Fines & Forfeits,(477010) RMV Non-Reneweal Surcharge Total,,,,,60500,60000,60000,60000,66000,24641,2
Fines & Forfeits,(477011) Tobacco Fines,,,,,1000,1500,1500,1500,1200,500,2
Fines & Forfeits,(477011) Tobacco Fines Total,,,,,1000,1500,1500,1500,1200,500,2
Fines & Forfeits,(477013) Delinquent Parking Ticket,,,,,300000,3960,0,40000,30000,300000,2
Fines & Forfeits,(477013) Delinquent Parking Ticket Total,,,,,300000,3960,0,40000,30000,300000,2
Fines & Forfeits,(477014) Expired Registry & Safety Inspection,,,,,0,600000,420000,270000,170000,200000,2
Fines & Forfeits,(477014) Expired Registry & Safety Inspection Total,,,,,0,600000,420000,270000,170000,200000,2
Fines & Forfeits,(484005) Towing Charges,,,,,70000,47025,35000,45000,45000,45000,2
Fines & Forfeits,(484005) Towing Charges Total,,,,,70000,47025,35000,45000,45000,45000,2
Fines & Forfeits,Chapter 148A Sec. 5,,,,,2500,0,0,0,0,0,2
Fines & Forfeits,Chapter 148A Sec. 5 Total,,,,,2500,0,0,0,0,0,2
Fines & Forfeits Total,,,,,,8841282,8854377,7910278,6576660,6254867,5754704,1
Investment Income,(482000) Investment Income,,,,,396000,300000,300000,200000,200000,200000,2
Investment Income,(482000) Investment Income Total,,,,,396000,300000,300000,200000,200000,200000,2
Investment Income Total,,,,,,396000,300000,300000,200000,200000,200000,1
Miscellaneous Recurring Revenue,(437005) DPW Recycling Revenue,,,,,13695,90000,9000,0,0,0,2
Miscellaneous Recurring Revenue,(437005) DPW Recycling Revenue Total,,,,,13695,90000,9000,0,0,0,2
Miscellaneous Recurring Revenue,(454001) Medicare Reimbursement,,,,,393000,453000,385000,245000,500000,0,2
Miscellaneous Recurring Revenue,(454001) Medicare Reimbursement Total,,,,,393000,453000,385000,245000,500000,0,2
Miscellaneous Recurring Revenue,(468007) Medicaid Reimbursement,,,,,350000,527000,551460,695000,700100,692000,2
Miscellaneous Recurring Revenue,(468007) Medicaid Reimbursement Total,,,,,350000,527000,551460,695000,700100,692000,2
Miscellaneous Recurring Revenue,(468008) C of M  Misc,,,,,22338,0,0,0,0,0,2
Miscellaneous Recurring Revenue,(468008) C of M  Misc Total,,,,,22338,0,0,0,0,0,2
Miscellaneous Recurring Revenue,(468009) C of M Reimb COLA,,,,,7500,7500,7500,0,0,3869,2
Miscellaneous Recurring Revenue,(468009) C of M Reimb COLA Total,,,,,7500,7500,7500,0,0,3869,2
Miscellaneous Recurring Revenue,(468010) C of M Reimbursement,,,,,0,0,0,0,0,0,2
Miscellaneous Recurring Revenue,(468010) C of M Reimbursement Total,,,,,0,0,0,0,0,0,2
Miscellaneous Recurring Revenue,(468011) Reimbursement - Misc,,,,,5000,5208,0,0,0,50791,2
Miscellaneous Recurring Revenue,(468011) Reimbursement - Misc Total,,,,,5000,5208,0,0,0,50791,2
Miscellaneous Recurring Revenue,(494002) Sale of Surplus Equipment,,,,,30900,1830,0,0,0,0,2
Miscellaneous Recurring Revenue,(494002) Sale of Surplus Equipment Total,,,,,30900,1830,0,0,0,0,2
Miscellaneous Recurring Revenue,(494003) Sale of Vehicles,,,,,0,450,0,0,0,3500,2
Miscellaneous Recurring Revenue,(494003) Sale of Vehicles Total,,,,,0,450,0,0,0,3500,2
Miscellaneous Recurring Revenue,(484000) Miscellaneous Revenue,,,,,2528,0,5300,16211,0,8000,2
Miscellaneous Recurring Revenue,(484000) Miscellaneous Revenue Total,,,,,2528,0,5300,16211,0,8000,2
Miscellaneous Recurring Revenue,(484001) Prior Year Reimbursements,,,,,29340,147553,0,120727,0,35000,2
Miscellaneous Recurring Revenue,(484001) Prior Year Reimbursements Total,,,,,29340,147553,0,120727,0,35000,2
Miscellaneous Recurring Revenue,(484012) Bank Revenue Share,,,,,0,0,0,70000,100000,100000,2
Miscellaneous Recurring Revenue,(484012) Bank Revenue Share Total,,,,,0,0,0,70000,100000,100000,2
Miscellaneous Recurring Revenue,Settlement of Claims,,,,,179895,0,0,0,0,0,2
Miscellaneous Recurring Revenue,Settlement of Claims Total,,,,,179895,0,0,0,0,0,2
Miscellaneous Recurring Revenue Total,,,,,,1034196,1232541,958260,1146938,1300100,893160,1
State Revenue,(461002) Reim Abate Surv/Elderly,,,,,322981,318375,313231,308703,298796,290698,2
State Revenue,(461002) Reim Abate Surv/Elderly Total,,,,,322981,318375,313231,308703,298796,290698,2
State Revenue,(462001) School Aid Chapter 70,,,,,19006095,19108128,19316888,19448713,19582488,19717388,2
