LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2011,2012,2013,2014,2015,2016,2017,2018,LEVEL
General Government,,Ordinary Maintenance,,,,271450,321500,296500,276500,286740,286690,264990,220924,3
General Government,,Finance - Treasurer Total,,,,838661,905456,880486,925952,919834,942407,927204,915844,2
General Government,Finance - Auditing,Personal Services,,,,752502,760852,767346,656268,726520,750232,790935,795757,3
General Government,,Ordinary Maintenance,,,,92375,95290,105990,105990,107095,106995,112325,108085,3
General Government,,Finance - Auditing Total,,,,844877,856142,873336,762258,833615,857227,903260,903842,2
General Government,Finance - Purchasing,Personal Services,,,,265385,268592,319431,363459,372717,387381,395044,415166,3
General Government,,Ordinary Maintenance,,,,32275,32575,35075,33760,34570,32900,38050,30100,3
General Government,,Finance - Purchasing Total,,,,297660,301167,354506,397219,407287,420281,433094,445266,2
General Government,Finance - Assessing,Personal Services,,,,435434,446279,445678,498604,511594,532605,538953,567611,3
General Government,,Ordinary Maintenance,,,,75000,75000,87100,88300,68100,129390,121890,85800,3
General Government,,Finance - Assessing Total,,,,510434,521279,532778,586904,579694,661995,660843,653411,2
General Government,Finance - Grants Development,Personal Services,,,,102529,106531,106123,112431,127364,129880,149299,154084,3
General Government,,Ordinary Maintenance,,,,4436,4456,4456,4456,5776,5776,5776,5760,3
General Government,,Finance - Grants Development Total,,,,106965,110987,110579,116887,133140,135656,155075,159844,2
General Government,Finance - Internal Auditor,Personal Services,,,,0,57227,0,0,0,0,0,0,3
General Government,,Finance - Internal Auditor Total,,,,0,57227,0,0,0,0,0,0,2
General Government,City Clerk,Personal Services,,,,318128,318728,345501,405292,432885,432774,431782,449775,3
General Government,,Ordinary Maintenance,,,,111649,113677,133797,154506,167617,140410,153737,169737,3
General Government,,Special Items,,,,0,0,0,0,0,35000,0,0,3
General Government,,City Clerk Total,,,,429777,432405,479298,559798,591472,599184,585519,619512,2
General Government,Licensing Commission,Personal Services,,,,6405,6530,6530,10800,10800,10800,10800,11628,3
General Government,,Licensing Commission Total,,,,6405,6530,6530,10800,10800,10800,10800,11628,2
General Government,Law,Personal Services,,,,518368,535959,556538,603993,671778,704235,696862,799499,3
General Government,,Ordinary Maintenance,,,,124850,131700,125700,125900,175275,175275,175275,180975,3
General Government,,Law Total,,,,643218,667659,682238,729893,847053,879510,872137,980474,2
General Government,OSPCD - Administration,Personal Services,,,,134059,145149,146347,154381,246407,251364,326295,383557,3
General Government,,Ordinary Maintenance,,,,21551,21551,21551,21551,21550,21550,23550,23550,3
General Government,,OSPCD - Administration Total,,,,155610,166700,167898,175932,267957,272914,349845,407107,2
General Government,OSPCD - Transportation,Personal Services,,,,122271,125666,124828,142580,231272,229402,386121,404396,3
General Government,,Ordinary Maintenance,,,,5212,5212,5212,179080,197080,367860,113280,113280,3
General Government,,OSPCD - Transportation Total,,,,127483,130878,130040,321660,428352,597262,499401,517676,2
General Government,OSPCD - Planning,Personal Services,,,,296258,279661,403723,524895,607928,607496,801820,848420,3
General Government,,Ordinary Maintenance,,,,23634,23637,23637,175558,285558,285558,302338,302338,3
General Government,,OSPCD - Planning Total,,,,319892,303298,427360,700453,893486,893054,1104158,1150758,2
General Government,OSPCD - Housing,Personal Services,,,,23096,23546,59271,107447,220398,289779,455550,500532,3
General Government,,Ordinary Maintenance,,,,1600,1600,1600,2300,2000,37750,54450,54450,3
General Government,,OSPCD - Housing Total,,,,24696,25146,60871,109747,222398,327529,510000,554982,2
General Government,Redevelopment Authority,Personal Services,,,,10675,10883,10883,18000,18000,18000,18000,19260,3
General Government,,Redevelopment Authority Total,,,,10675,10883,10883,18000,18000,18000,18000,19260,2
General Government,OSPCD - Economic Development,Personal Services,,,,152244,147817,79010,101648,244394,242826,404033,423218,3
General Government,,Ordinary Maintenance,,,,5420,5417,5417,90417,90417,262917,151300,331300,3
General Government,,Special Items,,,,0,0,0,0,0,0,15000,0,3
General Government,,OSPCD - Economic Development Total,,,,157664,153234,84427,192065,334811,505743,570333,754518,2
General Government,Inspectional Services,Personal Services,,,,911021,958023,1010307,1316035,1635046,1795004,1975407,2017189,3
General Government,,Ordinary Maintenance,,,,109872,149422,199312,199312,316093,294431,300800,217082,3
General Government,,Inspectional Services Total,,,,1020893,1107445,1209619,1515347,1951139,2089436,2276207,2234271,2
General Government Total,,,,,,10430312,10961901,12280768,14978703,16697372,18134833,19877534,21565397,1
Public Safety,Emergency Management,Personal Services,,,,18433,18792,18792,20747,20747,20826,20747,20667,3
Public Safety,,Ordinary Maintenance,,,,5700,5700,5700,5700,5700,5700,5700,10390,3
Public Safety,,Emergency Management Total,,,,24133,24492,24492,26447,26447,26526,26447,31057,2
Public Safety,Fire,Personal Services,,,,12145297,12251253,14430604,14823601,15105523,14985834,15629168,15085870,3
Public Safety,,Ordinary Maintenance,,,,240462,282262,333050,401100,405600,429950,458600,460400,3
Public Safety,,Special Items,,,,26339,50923,54465,50400,0,0,2500,11000,3
Public Safety,,Fire  Total,,,,12412098,12584438,14818119,15275101,15511123,15415784,16090268,15557270,2
Public Safety,Fire Alarm,Personal Services,,,,738119,799154,892954,893379,914540,972165,996523,1015149,3
Public Safety,,Fire Alarm Total,,,,738119,799154,892954,893379,914540,972165,996523,1015149,2
Public Safety,Police - 911,Personal Services,,,,637043,631669,664447,667263,495500,833640,846914,907827,3
Public Safety,,Police - 911 Total,,,,637043,631669,664447,667263,495500,833640,846914,907827,2
Public Safety,Police - Animal Control,Personal Services,,,,69306,69751,90057,98883,101980,104750,104581,109847,3
Public Safety,,Ordinary Maintenance,,,,12507,13507,13507,15150,16395,16050,19050,18050,3
Public Safety,,Police - Animal Control Total,,,,81813,83258,103564,114033,118375,120800,123631,127897,2
Public Safety,Police,Personal Services,,,,12595675,13022839,13881502,14109421,14277463,14112296,14374700,15303867,3
Public Safety,,Ordinary Maintenance,,,,361548,474572,475632,499832,589883,556483,667616,613616,3
Public Safety,,Special Items,,,,51314,51314,51314,51314,51314,51314,51314,51314,3
Public Safety,,Police Total,,,,13008537,13548725,14408448,14660567,14918660,14720093,15093630,15968797,2
Public Safety,Traffic & Parking,Personal Services,,,,2365617,2195397,2203163,2424944,2497911,2533529,2561292,2633080,3
Public Safety,,Ordinary Maintenance,,,,701100,812100,902100,1052100,1363918,1408276,1543701,1598625,3
Public Safety,,Traffic & Parking Total,,,,3066717,3007497,3105263,3477044,3861829,3941805,4104993,4231705,2
Public Safety,Health & Human Services,Personal Services,,,,1179216,1226826,1286992,1687482,1759683,1960918,2062712,2179592,3
Public Safety,,Ordinary Maintenance,,,,115459,15459,115599,127659,160330,288830,471942,621942,3
Public Safety,,Health & Human Services Total,,,,1294675,1242285,1402591,1815141,1920013,2249748,2534654,2801534,2
Public Safety Total,,,,,,31263135,31921518,35419878,36928975,37766487,38280561,39817060,40641236,1
Culture & Recreation,Libraries,Personal Services,,,,1376413,1377307,1456291,1632941,1643651,1703241,1781994,1984541,3
Culture & Recreation,,Ordinary Maintenance,,,,187524,250524,314149,314149,321000,309386,339911,361800,3
Culture & Recreation,,Libraries Total,,,,1563937,1627831,1770440,1947090,1964651,2012627,2121905,2346341,2
Culture & Recreation,Recreation,Personal Services,,,,256227,389533,504831,650808,580515,612026,630811,745571,3
Culture & Recreation,,Ordinary Maintenance,,,,24925,24925,86925,105525,211125,222850,201550,256300,3
Culture & Recreation,,Recreation Total,,,,281152,414458,591756,756333,791640,834876,832361,1001871,2
Culture & Recreation,Recreation: Fields Maintenance,Personal Services,,,,0,0,0,0,0,0,67760,207568,3
Culture & Recreation,,Ordinary Maintenance,,,,0,0,0,0,0,0,260000,433000,3
Culture & Recreation,,Recreation: Fields Maintenance Total,,,,0,0,0,0,0,0,327760,640568,2
Culture & Recreation Total,,,,,,1845089,2042289,2362196,2703423,2756291,2847503,3282026,3988780,1
Public Works,DPW - Administration,Personal Services,,,,576352,580865,503746,555654,573831,594017,621347,651008,3
Public Works,,Ordinary Maintenance,,,,639540,767600,842475,813450,811450,822450,921600,939100,3
Public Works,,DPW - Administration Total,,,,1215892,1348465,1346221,1369104,1385281,1416467,1542947,1590108,2
Public Works,DPW - Electrical,Personal Services,,,,307992,307682,317597,312858,291079,311916,344924,341820,3
Public Works,,Ordinary Maintenance,,,,76000,164000,209000,229000,229000,197000,233500,243500,3
Public Works,,Capital Items,,,,15000,0,0,0,0,0,0,0,3
Public Works,,DPW - Electrical Total,,,,398992,471682,526597,541858,520079,508916,578424,585320,2
Public Works,DPW - Engineering,Personal Services,,,,79898,85873,103095,150706,156834,155691,178757,192248,3
Public Works,,Ordinary Maintenance,,,,4875,6425,7850,256100,207100,137100,255588,302800,3
Public Works,,DPW - Engineering Total,,,,84773,92298,110945,406806,363934,292791,434345,495048,2
Public Works,DPW - Highway,Personal Services,,,,1729243,1682990,1842026,2139675,2094007,2310611,2320697,2648755,3
Public Works,,Ordinary Maintenance,,,,690300,734500,808516,1259845,953845,1183845,1353095,1250595,3
Public Works,,DPW - Highway Total,,,,2419543,2417490,2650542,3399520,3047852,3494456,3673792,3899350,2
Public Works,DPW - Snow Removal,Ordinary Maintenance,,,,500000,650000,650000,650000,936000,1286000,1286000,1298860,3
Public Works,,DPW - Snow Removal Total,,,,500000,650000,650000,650000,936000,1286000,1286000,1298860,2
Public Works,DPW - Sanitation,Ordinary Maintenance,,,,3957000,3997200,3917580,4947000,4607000,5162426,5675208,5173000,3
Public Works,,DPW - Sanitation Total,,,,3957000,3997200,3917580,4947000,4607000,5162426,5675208,5173000,2
Public Works,DPW - Buildings & Grounds,Personal Services,,,,1838458,1899596,1897428,2096848,2072503,2151570,2161895,2271099,3
Public Works,,Ordinary Maintenance,,,,6618729,6876999,6905521,6765003,7153742,7662250,8989531,9280531,3
Public Works,,DPW - Buildings & Grounds Total,,,,8457187,8776595,8802949,8861851,9226245,9813820,11151426,11551630,2
Public Works,DPW - School Custodians,Personal Services,,,,1374252,1493254,1630257,1684472,1697651,1847962,1865892,1908672,3
Public Works,,Ordinary Maintenance,,,,735554,805000,827502,827502,854000,871080,888502,906272,3
Public Works,,DPW - School Custodians Total,,,,2109806,2298254,2457759,2511974,2551651,2719042,2754394,2814944,2
Public Works,DPW - Fleet,Ordinary Maintenance,,,,0,0,0,0,0,0,0,461000,3
Public Works,,DPW - Fleet Total,,,,0,0,0,0,0,0,0,461000,2
Public Works,Weights & Measures,Personal Services,,,,84513,84537,83946,91373,119554,87865,0,0,3
Public Works,,Ordinary Maintenance,,,,2790,2790,2790,2790,2790,2790,0,0,3
Public Works,,Weights & Measures Total,,,,87303,87327,86736,94163,122344,90655,0,0,2
Public Works Total,,,,,,19230496,20139311,20549329,22782276,22760386,24784573,27104508,27869260,1
Pension & Fringe,Health Insurance,Personal Services,,,,30227808,30227808,21191747,21938830,20401677,21338520,21764950,23325311,3
Pension & Fringe,,Ordinary Maintenance,,,,80000,80000,38500,58500,281000,269559,290000,299000,3
Pension & Fringe,,Health Insurance Total,,,,30307808,30307808,21230247,21997330,20682677,21608079,22054950,23624311,2
Pension & Fringe,Life Insurance & Flex Spending,Personal Services,,,,95700,98063,103361,88727,99727,99500,99443,99634,3
Pension & Fringe,,Life Insurance & Flex Spending Total,,,,95700,98063,103361,88727,99727,99500,99443,99634,2
Pension & Fringe,Medicare Payroll Taxes,Personal Services,,,,996862,1058028,1111853,1250000,1400000,1400000,1535000,1581050,3
Pension & Fringe,,Medicare Payroll Taxes Total,,,,996862,1058028,1111853,1250000,1400000,1400000,1535000,1581050,2
Pension & Fringe,Worker's Compensation,Personal Services,,,,451712,452718,402517,413927,443927,448594,454043,468332,3
Pension & Fringe,,Ordinary Maintenance,,,,338100,277850,277850,277850,318350,318350,364700,364700,3
Pension & Fringe,,Worker's Compensation Total,,,,789812,730568,680367,691777,762277,766944,818743,833032,2
Pension & Fringe,Unemployment Compensation,Personal Services,,,,450000,300000,250000,200000,125000,125000,125000,125000,3
Pension & Fringe,,Unemployment Compensation Total,,,,450000,300000,250000,200000,125000,125000,125000,125000,2
Pension & Fringe,Pension Accumulation Fund,Personal Services,,,,10851316,11172596,11084135,11457093,12324940,13304274,13711675,13857795,3
Pension & Fringe,,Pension Accumulation Fund Total,,,,10851316,11172596,11084135,11457093,12324940,13304274,13711675,13857795,2
Pension & Fringe,Non Contributory Pension,Ordinary Maintenance,,,,333431,333431,274001,228625,274627,125862,121265,123597,3
Pension & Fringe,,Non Contributory Pension Total,,,,333431,333431,274001,228625,274627,125862,121265,123597,2
Pension & Fringe Total,,,,,,43824929,44000494,34733964,35913552,35669248,37429659,38466076,40244419,1
Debt Service,,,,,,9158057,9805690,8998327,9672724,10655954,9874161,10748066,10572795,1
Debt Service Total,,,,,,9158057,9805690,8998327,9672724,10655954,9874161,10748066,10572795,1
Other,Damage to Persons & Property,Ordinary Maintenance,,,,175000,175000,175000,175000,175000,175000,175000,175000,3
Other,,Damage to Persons & Property Total,,,,175000,175000,175000,175000,175000,175000,175000,175000,2
Other,Salary Contingency,Personal Services,,,,500000,786885,4390611,720789,300000,1143701,1322449,2930000,3
Other,,Salary Contingency Total,,,,500000,786885,4390611,720789,300000,1143701,1322449,2930000,2
Other,Building Insurance,Ordinary Maintenance,,,,228812,251600,271000,500000,460000,438150,460058,470000,3
Other,,Building Insurance Total,,,,228812,251600,271000,500000,460000,438150,460058,470000,2
Other,Subsidy to Ice Rink Enterprise,Special Items,,,,0,0,0,0,150000,150000,199000,199000,3
Other,,Subsidy to Ice Rink Enterprise Total,,,,0,0,0,0,150000,150000,199000,199000,2
Other Total,,,,,,903812,1213485,4836611,1395789,1085000,1906851,2156507,3774000,1
School Department,,,,,,48677466,49489422,52545257,56590504,60317201,62512658,65420081,68574180,1
School Department Total,,,,,,48677466,49489422,52545257,56590504,60317201,62512658,65420081,68574180,1
Overlay Reserve,Overlay Reserve,Special Items,,,,1400000,1400000,1400000,1600000,1700000,1680096,1600000,1600000,3
Overlay Reserve,,Overlay Reserve Total,,,,1400000,1400000,1400000,1600000,1700000,1690096,1600000,1600000,2
Overlay Reserve Total,,,,,,1400000,1400000,1400000,1600000,1700000,1690096,1600000,1600000,1
State Assessments,Retired Employees Insurance,Special Items,,,,2197,3589,3589,2700,0,0,0,0,3
State Assessments,,Retired Employees Insurance Total,,,,2197,3589,3589,2700,0,0,0,0,2
State Assessments,Air Pollution Districts,Special Items,,,,19807,20327,20808,21899,21932,23970,24570,25774,3
State Assessments,,Air Pollution Districts Total,,,,19807,20327,20808,21899,21932,23970,24570,25774,2
State Assessments,Metropolitan Area Planning Council,Special Items,,,,22811,23264,23865,24462,24985,38990,39956,40754,3
State Assessments,,Metropolitan Area Planning Council Total,,,,22811,23264,23865,24462,24985,38990,39956,40754,2
State Assessments,RMV Non Renewal Surcharge,Special Items,,,,342940,241480,349000,298420,193680,193680,193680,73260,3
State Assessments,,RMV Non Renewal Surcharge Total,,,,342940,241480,349000,298420,193680,193680,193690,73260,2
State Assessments,MBTA,Special Items,,,,4629771,4607662,4802268,4854347,4922554,5062633,5112951,5156283,3
State Assessments,,MBTA Total,,,,4629771,4607662,4802268,4854347,4922554,5062633,5112951,5156283,2
State Assessments,Boston Metropolitan Transit District,Special Items,,,,1040,1001,1001,1039,1039,1102,1102,1041,3
State Assessments,,Boston Metropolitan Transit District Total,,,,1040,1001,1001,1039,1039,1102,1102,1041,2
State Assessments,Special Education,Special Items,,,,32538,34087,35703,8282,17511,13594,13594,16184,3
State Assessments,,Special Education Total,,,,32538,34087,35703,8282,17511,13594,13594,16184,2
State Assessments,School Choice Send Tuition,Special Items,,,,0,0,0,6559,6625,9514,13400,0,3
State Assessments,,School Choice Send Tuition Total,,,,0,0,0,6559,6625,9514,13400,0,2
State Assessments,Charter School Send Tuition,Special Items,,,,6707490,6796531,6634770,7189113,8190127,8066503,8633875,8891621,3
State Assessments,,Charter School Send Tuition Total,,,,6707490,6796531,6634770,7189113,8190127,8066503,8633875,8891621,2
State Assessments Total,,,,,,11758594,11727941,11871004,12400262,13371828,13409986,14033137,14204917,1
APPROPRIATIONS TOTAL,,,,,,179891890,182799999,184997333,196572767,202922810,211012771,222598887,233065084,0
